video,trace,model,average_bitrate_kbps,total_rebuffer_time_s,average_smoothness,average_reward
video1,fcc-test,bba,1202.10,35.10,0.41,0.76
video1,fcc-test,genet,1117.47,198.34,0.09,0.85
video1,fcc-test,mpc,1232.37,266.19,0.14,0.85
video1,fcc-test,NetLLM,1053.10,6.99,0.07,0.98
video1,fcc,bba,1128.60,234.78,0.39,0.53
video1,fcc,genet,1034.80,374.62,0.08,0.61
video1,fcc,mpc,1172.64,526.35,0.12,0.57
video1,fcc,NetLLM,970.31,298.10,0.07,0.63
video1,5g,bba,4087.23,0.00,0.09,4.00
video1,5g,genet,4054.86,0.00,0.09,3.96
video1,5g,mpc,4020.26,0.00,0.10,3.93
video1,5g,NetLLM,4235.27,0.00,0.09,4.15
video1,norway,bba,1166.56,172.59,0.35,0.66
video1,norway,genet,1063.00,102.85,0.09,0.88
video1,norway,mpc,1181.99,238.67,0.14,0.83
video1,norway,NetLLM,1019.40,13.26,0.07,0.94
video1,oboe,bba,2412.27,24.56,0.49,1.90
video1,oboe,genet,2234.27,45.75,0.11,2.08
video1,oboe,mpc,2471.59,78.26,0.17,2.23
video1,oboe,NetLLM,2037.03,2.19,0.11,1.92
video1,ghent,bba,4081.30,0.00,0.09,4.00
video1,ghent,genet,4044.28,0.00,0.09,3.95
video1,ghent,mpc,4051.70,0.00,0.09,3.97
video1,ghent,NetLLM,4243.75,0.00,0.09,4.15
video2,fcc-test,bba,1011.84,103.17,0.33,0.59
video2,fcc-test,genet,921.51,234.98,0.07,0.63
video2,fcc-test,mpc,1020.67,297.76,0.12,0.63
video2,fcc-test,NetLLM,935.52,203.17,0.08,0.67
video2,fcc,bba,952.41,454.01,0.30,0.24
video2,fcc,genet,840.14,419.33,0.06,0.40
video2,fcc,mpc,965.51,541.26,0.09,0.38
video2,fcc,NetLLM,862.57,522.13,0.07,0.31
video2,5g,bba,4087.23,0.00,0.09,4.00
video2,5g,genet,4057.54,0.00,0.09,3.97
video2,5g,mpc,4014.87,0.00,0.09,3.92
video2,5g,NetLLM,4235.27,0.00,0.09,4.15
video2,norway,bba,989.66,367.44,0.34,0.32
video2,norway,genet,881.81,120.27,0.07,0.70
video2,norway,mpc,978.49,209.12,0.11,0.68
video2,norway,NetLLM,907.71,168.37,0.07,0.68
video2,oboe,bba,2029.67,59.41,0.49,1.49
video2,oboe,genet,1893.82,27.46,0.11,1.76
video2,oboe,mpc,2074.77,67.78,0.17,1.84
video2,oboe,NetLLM,1794.60,57.70,0.10,1.64
video2,ghent,bba,4078.11,0.00,0.09,3.99
video2,ghent,genet,4046.01,0.00,0.09,3.96
video2,ghent,mpc,4044.02,0.00,0.09,3.96
video2,ghent,NetLLM,4239.26,0.00,0.09,4.15
